Vez,Quantidade,Tempo(segundos)
1,1000,0.00000
2,1000,0.00000
3,1000,0.00000
4,1000,0.00000
5,1000,0.00000
6,1000,0.00000
7,1000,0.00000
8,1000,0.00000
9,1000,0.00000
10,1000,0.00000
11,1000,0.00000
12,1000,0.00000
13,1000,0.00000
14,1000,0.00000
15,1000,0.00000
16,1000,0.00000
17,1000,0.00000
18,1000,0.00000
19,1000,0.00000
20,1000,0.00000
21,1000,0.00000
22,1000,0.00000
23,1000,0.00000
24,1000,0.00000
25,1000,0.00000
26,1000,0.00000
27,1000,0.00000
28,1000,0.00000
29,1000,0.00000
30,1000,0.00000
31,1000,0.00000
32,1000,0.00000
33,1000,0.00000
34,1000,0.00000
35,1000,0.00000
36,1000,0.00000
37,1000,0.00000
38,1000,0.00000
39,1000,0.00000
40,1000,0.00000
41,1000,0.00000
42,1000,0.00000
43,1000,0.00000
44,1000,0.00000
45,1000,0.00000
46,1000,0.00000
47,1000,0.00000
48,1000,0.00000
49,1000,0.00000
50,1000,0.01500
51,1000,0.00000
52,1000,0.00000
53,1000,0.00000
54,1000,0.00000
55,1000,0.00000
56,1000,0.00000
57,1000,0.00000
58,1000,0.00000
59,1000,0.00000
60,1000,0.00000
61,1000,0.00000
62,1000,0.00000
63,1000,0.00000
64,1000,0.00000
65,1000,0.00000
66,1000,0.00000
67,1000,0.00000
68,1000,0.00000
69,1000,0.00000
70,1000,0.00000
71,1000,0.00000
72,1000,0.00000
73,1000,0.00000
74,1000,0.00000
75,1000,0.00000
76,1000,0.00000
77,1000,0.00000
78,1000,0.00000
79,1000,0.00000
80,1000,0.00000
81,1000,0.00000
82,1000,0.00000
83,1000,0.00000
84,1000,0.00000
85,1000,0.00000
86,1000,0.00000
87,1000,0.00000
88,1000,0.00000
89,1000,0.00000
90,1000,0.00000
91,1000,0.00000
92,1000,0.00000
93,1000,0.00000
94,1000,0.00000
95,1000,0.00000
96,1000,0.00000
97,1000,0.00000
98,1000,0.00000
99,1000,0.00000
100,1000,0.00000
1,5000,0.00000
2,5000,0.00000
3,5000,0.00000
4,5000,0.00000
5,5000,0.00000
6,5000,0.00000
7,5000,0.00000
8,5000,0.00000
9,5000,0.00000
10,5000,0.00000
11,5000,0.00000
12,5000,0.00000
13,5000,0.00000
14,5000,0.00000
15,5000,0.00000
16,5000,0.00000
17,5000,0.00000
18,5000,0.00000
19,5000,0.00000
20,5000,0.00000
21,5000,0.00000
22,5000,0.00000
23,5000,0.00000
24,5000,0.00000
25,5000,0.00000
26,5000,0.00000
27,5000,0.00000
28,5000,0.00000
29,5000,0.00000
30,5000,0.00000
31,5000,0.00000
32,5000,0.00000
33,5000,0.00000
34,5000,0.00000
35,5000,0.00000
36,5000,0.00000
37,5000,0.00000
38,5000,0.00000
39,5000,0.00000
40,5000,0.00000
41,5000,0.00000
42,5000,0.00000
43,5000,0.00000
44,5000,0.00000
45,5000,0.00000
46,5000,0.00000
47,5000,0.01600
48,5000,0.00000
49,5000,0.00000
50,5000,0.00000
51,5000,0.00000
52,5000,0.00000
53,5000,0.00000
54,5000,0.00000
55,5000,0.00000
56,5000,0.00000
57,5000,0.00000
58,5000,0.00000
59,5000,0.00000
60,5000,0.00000
61,5000,0.00000
62,5000,0.00000
63,5000,0.00000
64,5000,0.00000
65,5000,0.00000
66,5000,0.00000
67,5000,0.00000
68,5000,0.00000
69,5000,0.00000
70,5000,0.00000
71,5000,0.00000
72,5000,0.00000
73,5000,0.00000
74,5000,0.00000
75,5000,0.00000
76,5000,0.00000
77,5000,0.00000
78,5000,0.00000
79,5000,0.00000
80,5000,0.00000
81,5000,0.00000
82,5000,0.00000
83,5000,0.00000
84,5000,0.00000
85,5000,0.00000
86,5000,0.00000
87,5000,0.00000
88,5000,0.00000
89,5000,0.00000
90,5000,0.00000
91,5000,0.00000
92,5000,0.00000
93,5000,0.00000
94,5000,0.00000
95,5000,0.00000
96,5000,0.00000
97,5000,0.00000
98,5000,0.00000
99,5000,0.00000
100,5000,0.00000
1,10000,0.01600
2,10000,0.00000
3,10000,0.00000
4,10000,0.00000
5,10000,0.00000
6,10000,0.00000
7,10000,0.00000
8,10000,0.00000
9,10000,0.00000
10,10000,0.00000
11,10000,0.00000
12,10000,0.00000
13,10000,0.00000
14,10000,0.00000
15,10000,0.00000
16,10000,0.00000
17,10000,0.00000
18,10000,0.00000
19,10000,0.00000
20,10000,0.00000
21,10000,0.00000
22,10000,0.00000
23,10000,0.00000
24,10000,0.00000
25,10000,0.00000
26,10000,0.01500
27,10000,0.00000
28,10000,0.00000
29,10000,0.00000
30,10000,0.00000
31,10000,0.00000
32,10000,0.00000
33,10000,0.00000
34,10000,0.00000
35,10000,0.00000
36,10000,0.00000
37,10000,0.00000
38,10000,0.00000
39,10000,0.00000
40,10000,0.00000
41,10000,0.00000
42,10000,0.00000
43,10000,0.00000
44,10000,0.00000
45,10000,0.00000
46,10000,0.00000
47,10000,0.00000
48,10000,0.00000
49,10000,0.00000
50,10000,0.00000
51,10000,0.00000
52,10000,0.01600
53,10000,0.00000
54,10000,0.00000
55,10000,0.00000
56,10000,0.00000
57,10000,0.00000
58,10000,0.00000
59,10000,0.00000
60,10000,0.00000
61,10000,0.00000
62,10000,0.00000
63,10000,0.00000
64,10000,0.00000
65,10000,0.00000
66,10000,0.00000
67,10000,0.00000
68,10000,0.00000
69,10000,0.00000
70,10000,0.00000
71,10000,0.00000
72,10000,0.00000
73,10000,0.00000
74,10000,0.00000
75,10000,0.00000
76,10000,0.00000
77,10000,0.00000
78,10000,0.01600
79,10000,0.00000
80,10000,0.00000
81,10000,0.00000
82,10000,0.00000
83,10000,0.00000
84,10000,0.00000
85,10000,0.00000
86,10000,0.00000
87,10000,0.00000
88,10000,0.00000
89,10000,0.00000
90,10000,0.00000
91,10000,0.00000
92,10000,0.00000
93,10000,0.00000
94,10000,0.00000
95,10000,0.00000
96,10000,0.00000
97,10000,0.00000
98,10000,0.00000
99,10000,0.00000
100,10000,0.00000
1,50000,0.01800
2,50000,0.00200
3,50000,0.00000
4,50000,0.00500
5,50000,0.00400
6,50000,0.00400
7,50000,0.00400
8,50000,0.00000
9,50000,0.00000
10,50000,0.00400
11,50000,0.00400
12,50000,0.00500
13,50000,0.00400
14,50000,0.00400
15,50000,0.00000
16,50000,0.00400
17,50000,0.00400
18,50000,0.00400
19,50000,0.00500
20,50000,0.00400
21,50000,0.00000
22,50000,0.00400
23,50000,0.00400
24,50000,0.00400
25,50000,0.00400
26,50000,0.00400
27,50000,0.00000
28,50000,0.00000
29,50000,0.00400
30,50000,0.00400
31,50000,0.00400
32,50000,0.00400
33,50000,0.00000
34,50000,0.00000
35,50000,0.00400
36,50000,0.00400
37,50000,0.00400
38,50000,0.00400
39,50000,0.00000
40,50000,0.00000
41,50000,0.00500
42,50000,0.00600
43,50000,0.00200
44,50000,0.00400
45,50000,0.00400
46,50000,0.00000
47,50000,0.00400
48,50000,0.00500
49,50000,0.00400
50,50000,0.00400
51,50000,0.00400
52,50000,0.00000
53,50000,0.00000
54,50000,0.00500
55,50000,0.00400
56,50000,0.00400
57,50000,0.00400
58,50000,0.00400
59,50000,0.00000
60,50000,0.00400
61,50000,0.00400
62,50000,0.00500
63,50000,0.00400
64,50000,0.00400
65,50000,0.00000
66,50000,0.00400
67,50000,0.00400
68,50000,0.00500
69,50000,0.00400
70,50000,0.00400
71,50000,0.00000
72,50000,0.00400
73,50000,0.00400
74,50000,0.00400
75,50000,0.00500
76,50000,0.00400
77,50000,0.00000
78,50000,0.00000
79,50000,0.00400
80,50000,0.00400
81,50000,0.00400
82,50000,0.00500
83,50000,0.00000
84,50000,0.00000
85,50000,0.00400
86,50000,0.00400
87,50000,0.00400
88,50000,0.00400
89,50000,0.00500
90,50000,0.00000
91,50000,0.00400
92,50000,0.00400
93,50000,0.00400
94,50000,0.00400
95,50000,0.00400
96,50000,0.00000
97,50000,0.00000
98,50000,0.00400
99,50000,0.00400
100,50000,0.00500
1,100000,0.00300
2,100000,0.00500
3,100000,0.00800
4,100000,0.00800
5,100000,0.00900
6,100000,0.00400
7,100000,0.00800
8,100000,0.00800
9,100000,0.00900
10,100000,0.00400
11,100000,0.00400
12,100000,0.00900
13,100000,0.00800
14,100000,0.00600
15,100000,0.00400
16,100000,0.00900
17,100000,0.00800
18,100000,0.00800
19,100000,0.00500
20,100000,0.00800
21,100000,0.00800
22,100000,0.00900
23,100000,0.00400
24,100000,0.00400
25,100000,0.00800
26,100000,0.00900
27,100000,0.00500
28,100000,0.00400
29,100000,0.00900
30,100000,0.00800
31,100000,0.00800
32,100000,0.00400
33,100000,0.00900
34,100000,0.00800
35,100000,0.00800
36,100000,0.00500
37,100000,0.00400
38,100000,0.00800
39,100000,0.00900
40,100000,0.00400
41,100000,0.00400
